,zipcode,N1,agi_stub
0,0,785000.0,1
1,0,554310.0,2
2,0,290630.0,3
3,0,181010.0,4
4,0,269080.0,5
5,0,81340.0,6
6,35004,1460.0,1
7,35004,1400.0,2
8,35004,1020.0,3
9,35004,630.0,4
10,35004,810.0,5
11,35004,100.0,6
12,35005,1380.0,1
13,35005,1120.0,2
14,35005,510.0,3
15,35005,220.0,4
16,35005,190.0,5
17,35005,20.0,6
18,35006,400.0,1
19,35006,330.0,2
20,35006,190.0,3
21,35006,150.0,4
22,35006,140.0,5
23,35006,20.0,6
24,35007,3930.0,1
25,35007,2990.0,2
26,35007,1930.0,3
27,35007,1390.0,4
28,35007,2030.0,5
29,35007,330.0,6
30,35010,3390.0,1
31,35010,2340.0,2
32,35010,970.0,3
33,35010,550.0,4
34,35010,770.0,5
35,35010,260.0,6
36,35014,630.0,1
37,35014,510.0,2
38,35014,230.0,3
39,35014,150.0,4
40,35014,170.0,5
41,35014,40.0,6
42,35016,2730.0,1
43,35016,1930.0,2
44,35016,1170.0,3
45,35016,740.0,4
46,35016,940.0,5
47,35016,190.0,6
48,35019,400.0,1
49,35019,260.0,2
50,35019,140.0,3
51,35019,80.0,4
52,35019,120.0,5
53,35019,0.0,6
54,35020,5260.0,1
55,35020,2960.0,2
56,35020,860.0,3
57,35020,310.0,4
58,35020,180.0,5
59,35020,0.0,6
60,35022,3400.0,1
61,35022,2820.0,2
62,35022,1820.0,3
63,35022,1080.0,4
64,35022,1490.0,5
65,35022,280.0,6
66,35023,3590.0,1
67,35023,3260.0,2
68,35023,1700.0,3
69,35023,970.0,4
70,35023,1030.0,5
71,35023,110.0,6
72,35031,1160.0,1
73,35031,880.0,2
74,35031,470.0,3
75,35031,280.0,4
76,35031,260.0,5
77,35031,30.0,6
78,35033,490.0,1
79,35033,370.0,2
80,35033,220.0,3
81,35033,160.0,4
82,35033,210.0,5
83,35033,70.0,6
84,35034,780.0,1
85,35034,450.0,2
86,35034,170.0,3
87,35034,90.0,4
88,35034,110.0,5
89,35034,0.0,6
90,35035,240.0,1
91,35035,140.0,2
92,35035,80.0,3
93,35035,50.0,4
94,35035,80.0,5
95,35035,0.0,6
96,35040,2680.0,1
97,35040,2480.0,2
98,35040,1660.0,3
99,35040,970.0,4
100,35040,1010.0,5
101,35040,150.0,6
102,35042,860.0,1
103,35042,620.0,2
104,35042,340.0,3
105,35042,240.0,4
106,35042,250.0,5
107,35042,40.0,6
108,35043,1510.0,1
109,35043,1010.0,2
110,35043,840.0,3
111,35043,720.0,4
112,35043,1650.0,5
113,35043,480.0,6
114,35044,1400.0,1
115,35044,950.0,2
116,35044,460.0,3
117,35044,220.0,4
118,35044,280.0,5
119,35044,40.0,6
120,35045,2280.0,1
121,35045,1620.0,2
122,35045,840.0,3
123,35045,540.0,4
124,35045,680.0,5
125,35045,110.0,6
126,35046,850.0,1
127,35046,590.0,2
128,35046,350.0,3
129,35046,210.0,4
130,35046,360.0,5
131,35046,80.0,6
132,35049,540.0,1
133,35049,440.0,2
134,35049,270.0,3
135,35049,170.0,4
136,35049,200.0,5
137,35049,30.0,6
138,35051,1320.0,1
139,35051,870.0,2
140,35051,490.0,3
141,35051,330.0,4
142,35051,540.0,5
143,35051,170.0,6
144,35053,390.0,1
145,35053,290.0,2
146,35053,160.0,3
147,35053,120.0,4
148,35053,240.0,5
149,35053,90.0,6
150,35054,570.0,1
151,35054,450.0,2
152,35054,260.0,3
153,35054,220.0,4
154,35054,360.0,5
155,35054,130.0,6
156,35055,2980.0,1
157,35055,2310.0,2
158,35055,1260.0,3
159,35055,820.0,4
160,35055,1070.0,5
161,35055,260.0,6
162,35057,1840.0,1
163,35057,1440.0,2
164,35057,910.0,3
165,35057,530.0,4
166,35057,770.0,5
167,35057,210.0,6
168,35058,1530.0,1
169,35058,1210.0,2
170,35058,660.0,3
